"bird_ID" "ch" "year" "day_of_season" "sex" "brood_ID" "clutch_size"
"bird_37" "11110101.10110000000.000000" "2006" 24 "M" "brood_130" 3
"bird_38" "11110000.00000000000.000000" "2006" 24 "M" "brood_130" 3
"bird_39" "11110000.00000000000.000000" "2006" 24 "F" "brood_130" 3
"bird_42" "110100.00000000000.00000000" "2006" 26 "F" "brood_97" 3
"bird_49" "110100.00000000000.00000000" "2006" 26 "F" "brood_97" 3
"bird_50" "110100.00000000000.00000000" "2006" 26 "M" "brood_97" 3
"bird_55" "1111..10000.0000000.000.0.." "2006" 28 "M" "brood_10" 3
"bird_56" "1..101.00010100101111100100" "2006" 28 "M" "brood_14" 2
"bird_57" "1000.00000000000.0000000000" "2006" 28 "M" "brood_77" 3
"bird_61" "1111..10000.0000000.000.0.." "2006" 28 "M" "brood_10" 3
"bird_65" "11..11011.1011001.001.1..11" "2006" 30 "F" "brood_11" 3
"bird_66" "11..11011.1011001.001.1..11" "2006" 30 "M" "brood_11" 3
"bird_70" "11..11011.1011001.001.1..11" "2006" 30 "F" "brood_11" 3
"bird_71" "100110000110100110010000001" "2006" 31 "F" "brood_29" 3
"bird_74" "100110000110100110010000001" "2006" 31 "F" "brood_29" 3
"bird_78" "11.010110110101010111011010" "2006" 32 "M" "brood_19" 3
"bird_79" "11.010110110101010111011010" "2006" 32 "F" "brood_19" 3
"bird_86" "100100100101001010110010101" "2006" 32 "M" "brood_71" 3
"bird_88" "11.010110110101010111011010" "2006" 32 "M" "brood_19" 3
"bird_89" "100011011010010101010101010" "2006" 33 "M" "brood_69" 3
"bird_92" "1101001000.0000000000000000" "2006" 34 "F" "brood_87" 3
"bird_101" "1011011010110100100000000.0" "2006" 35 "M" "brood_21" 3
"bird_102" "1011011010110100100000000.0" "2006" 35 "F" "brood_21" 3
"bird_103" "1010010010010001100101011.1" "2006" 35 "F" "brood_20" 3
"bird_104" "1010010010010001100101011.1" "2006" 35 "M" "brood_20" 3
"bird_105" "010000000000000000000000000" "2006" 34 "F" "brood_33" 3
"bird_106" "1111.0000000.000.0..00..0.." "2006" 35 "F" "brood_4" 3
"bird_107" "1111.0000000.000.0..00..0.." "2006" 35 "M" "brood_4" 3
"bird_108" "1000000000000000000000000.0" "2006" 35 "M" "brood_20" 3
"bird_116" "1111.0000000.000.0..00..0.." "2006" 35 "M" "brood_4" 3
"bird_117" "111.1110000.000.0..00..0..." "2006" 36 "F" "brood_2" 3
"bird_118" "111.1110000.000.0..00..0..." "2006" 36 "M" "brood_2" 3
"bird_119" "11001000000000000101010.00." "2006" 37 "M" "brood_16" 3
"bird_120" "11001000000000000101010.00." "2006" 37 "F" "brood_16" 3
"bird_124" "111000000000000000000000000" "2006" 38 "M" "brood_72" 3
"bird_125" "111110000000000000000000000" "2006" 38 "F" "brood_36" 3
"bird_126" "1000000000000000000000.00.0" "2006" 38 "F" "brood_22" 3
"bird_129" "10000.000000000000000000000" "2006" 39 "F" "brood_120" 3
"bird_134" "11.110001101011110100000101" "2006" 26 "M" "brood_27" 3
"bird_135" "11.110001101011110100000101" "2006" 26 "F" "brood_27" 3
"bird_140" "11.110001101011110100000101" "2006" 26 "F" "brood_27" 3
"bird_146" "11101001.000010100000101010" "2006" 36 "F" "brood_84" 3
"bird_147" "11101001.000010100000101010" "2006" 36 "M" "brood_84" 3
"bird_149" "1.1011.10110101101110111100" "2007" 7 "M" "brood_222" 3
"bird_150" "1.1011.10110101101110111100" "2007" 7 "M" "brood_222" 3
"bird_151" "1.1011.10110101101110111100" "2007" 7 "M" "brood_222" 3
"bird_152" "1011.1110010101001011000000" "2007" 9 "F" "brood_225" 3
"bird_153" "1111.111..1.1.11.1.11......" "2007" 9 "M" "brood_225" 3
"bird_155" "11111111..1.1.1..1.11......" "2007" 9 "M" "brood_225" 3
"bird_157" "11101001.000010100000101010" "2006" 36 "F" "brood_84" 3
"bird_159" "1011.11.1.1111.1.10000.0.01" "2007" 11 "M" "brood_251" 3
"bird_160" "111101001011110100110000110" "2007" 14 "F" "brood_208" 3
"bird_161" "111101001011110100110000110" "2007" 14 "M" "brood_208" 3
"bird_162" "1.11111.1.1111.1.11..1...11" "2007" 11 "F" "brood_251" 3
"bird_165" "10001100011011.1101000.1000" "2007" 16 "F" "brood_187" 2
"bird_166" "10001100011011.1101010.1000" "2007" 16 "F" "brood_187" 2
"bird_174" "111111100010101000100010000" "2007" 22 "F" "brood_138" 3
"bird_175" "111.11111.1..1.11..111111.1" "2007" 22 "F" "brood_138" 3
"bird_179" "011001100000000000000010000" "2007" 22 "F" "brood_138" 3
"bird_180" "11.1.111.1.0101100111111011" "2007" 23 "F" "brood_242" 3
"bird_181" "11.1.111.1..1.11..111111.11" "2007" 23 "M" "brood_242" 3
"bird_183" "110110010010101100000100000" "2007" 24 "F" "brood_209" 3
"bird_184" ".1111.1.......1......11..1." "2007" 24 "M" "brood_172" 3
"bird_185" "..1.11.1.1.....11...1111..1" "2007" 23 "F" "brood_205" 3
"bird_186" "1.1........................" "2007" 27 "F" "brood_185" 3
"bird_187" "1.11.1....1...1............" "2007" 27 "F" "brood_137" 3
"bird_188" "11010000000001011110101.10." "2006" 37 "F" "brood_17" 3
"bird_189" "1.1....1......1............" "2007" 27 "M" "brood_137" 3
"bird_190" "111011010001101010111011110" "2007" 27 "F" "brood_137" 3
"bird_191" "1.1........................" "2007" 27 "M" "brood_185" 3
"bird_192" "1.1........................" "2007" 27 "M" "brood_185" 3
"bird_193" "000011010100000110001111001" "2007" 23 "F" "brood_205" 3
"bird_194" "1..1.11..1..1..1...1.1...1." "2007" 28 "M" "brood_197" 3
"bird_195" ".11111.1...11...1.11..11111" "2007" 27 "M" "brood_180" 3
"bird_196" "110000100000000000000000000" "2007" 28 "F" "brood_212" 3
"bird_197" "100010100100010111010010010" "2007" 29 "M" "brood_226" 3
"bird_198" "011.1.101000100000000010110" "2007" 28 "F" "brood_212" 3
"bird_200" "11.0.1110010000001101101010" "2007" 29 "M" "brood_245" 3
"bird_211" "1111.11.1.1111.1.1........1" "2007" 11 "F" "brood_251" 3
"bird_219" "1001100001110.0101010.10000" "2007" 17 "M" "brood_184" 2
"bird_220" "101101.11001011000011001101" "2006" 38 "M" "brood_132" 3
"bird_225" "1...........1.............." "2007" 24 "F" "brood_172" 3
"bird_226" "1...........1.............." "2007" 24 "F" "brood_172" 3
"bird_230" "101101.11001011000011001101" "2006" 38 "F" "brood_132" 3
"bird_233" "11011111001.110010001010101" "2007" 27 "M" "brood_180" 3
"bird_234" "010111010000000000000000000" "2007" 27 "F" "brood_180" 3
"bird_235" "10.1011001.0100100010100010" "2007" 28 "M" "brood_197" 3
"bird_236" "1..1.11..1..1..1...1.1...1." "2007" 28 "M" "brood_197" 3
"bird_237" "010000000010000011011110110" "2007" 28 "F" "brood_176" 3
"bird_238" "010001100000000000000000000" "2007" 28 "F" "brood_212" 3
"bird_239" "111010110011100010100101111" "2007" 29 "M" "brood_179" 3
"bird_240" "1...1.1..11.111111111.1111." "2007" 29 "M" "brood_226" 3
"bird_241" "101101.11001011000011001101" "2006" 38 "M" "brood_132" 3
"bird_242" "111.1.11..111...1.1..1.1111" "2007" 29 "F" "brood_179" 3
"bird_243" "111100110100110110001000000" "2007" 29 "F" "brood_174" 3
"bird_244" "1111.011010011.111.01010000" "2007" 29 "M" "brood_174" 3
"bird_245" "11...11.1..1....11.1..11..1" "2007" 30 "F" "brood_210" 3
"bird_246" "111100110100110110001000000" "2007" 29 "M" "brood_174" 3
"bird_247" "111..11.1..1....11.11.1...." "2007" 30 "F" "brood_210" 3
"bird_248" "100000000000000000000000000" "2007" 31 "F" "brood_178" 3
"bird_252" "11010000000001011110101.10." "2006" 37 "F" "brood_17" 3
"bird_256" "110001000100000000000000000" "2007" 39 "F" "brood_147" 3
"bird_257" "110000000000000000000000000" "2007" 40 "M" "brood_157" 3
"bird_258" "110000000000000000000000000" "2007" 40 "F" "brood_157" 3
"bird_259" "111111111.1................" "2007" 41 "F" "brood_183" 3
"bird_260" "11111111..................." "2007" 41 "M" "brood_183" 3
"bird_261" "110000000000000000000000000" "2007" 40 "M" "brood_157" 3
"bird_263" "11011000000001011110101.10." "2006" 37 "M" "brood_17" 3
"bird_265" "011110011010100100000000000" "2007" 43 "F" "brood_182" 3
"bird_269" "100011111110000000000000101" "2007" 45 "M" "brood_141" 3
"bird_270" "1.........................." "2007" 45 "F" "brood_150" 3
"bird_271" "1..11......................" "2007" 45 "M" "brood_150" 3
"bird_276" "111110000000000000000000..." "2007" 49 "M" "brood_148" 3
"bird_278" "0111110000000000000000000.." "2007" 48 "M" "brood_256" 3
"bird_279" "111111110100111100000000..." "2007" 49 "M" "brood_148" 3
"bird_292" "1010111000011110101001....." "2007" 51 "M" "brood_155" 3
"bird_299" "111110011000000000........." "2007" 55 "F" "brood_156" 3
"bird_300" "11111..11.................." "2007" 55 "F" "brood_156" 3
"bird_301" "010101010011011010........." "2007" 55 "F" "brood_177" 3
"bird_302" ".1.1.1.1..11.11.1.........." "2007" 55 "M" "brood_177" 3
"bird_303" "10000000000000000.........." "2007" 56 "F" "brood_162" 3
"bird_307" "11...1....................." "2007" 57 "M" "brood_253" 3
"bird_308" "01.00110001000............." "2007" 59 "F" "brood_247" 3
"bird_309" "01.00110001000............." "2007" 59 "M" "brood_247" 3
"bird_310" "00..11.11011011111........." "2007" 55 "M" "brood_230" 3
"bird_312" "..1........................" "2007" 60 "F" "brood_193" 3
"bird_313" "11........................." "2007" 64 "F" "brood_236" 3
"bird_314" "110100000.................." "2007" 64 "F" "brood_228" 3
"bird_316" "110100000.................." "2007" 64 "M" "brood_228" 3
"bird_317" "101000000.................." "2007" 64 "F" "brood_231" 3
"bird_318" "110000000.................." "2007" 64 "M" "brood_236" 3
"bird_319" "101100000.................." "2007" 64 "F" "brood_233" 3
"bird_320" "101100000.................." "2007" 64 "M" "brood_233" 3
"bird_321" "11010000..................." "2007" 65 "F" "brood_199" 3
"bird_322" "11010000..................." "2007" 65 "M" "brood_199" 3
"bird_323" "11010000..................." "2007" 65 "F" "brood_199" 3
"bird_324" "1100100...................." "2007" 66 "M" "brood_248" 3
"bird_325" "1.........................." "2007" 66 "F" "brood_262" 3
"bird_327" "101000....................." "2007" 67 "F" "brood_237" 3
"bird_329" "100010011011000............" "2007" 58 "M" "brood_158" 3
"bird_330" "111111....................." "2007" 58 "M" "brood_165" 3
"bird_331" "100110110000000............" "2007" 58 "M" "brood_159" 3
"bird_332" ".11111..1.1................" "2007" 58 "F" "brood_165" 3
"bird_333" ".11111....................." "2007" 58 "F" "brood_165" 3
"bird_334" "10011100000010............." "2007" 59 "F" "brood_164" 3
"bird_335" "1.11111.1.11..............." "2007" 59 "F" "brood_191" 3
"bird_337" "10111.100010..............." "2007" 60 "M" "brood_219" 3
"bird_338" "10111.100010..............." "2007" 60 "F" "brood_219" 3
"bird_341" "10100000.0................." "2007" 62 "M" "brood_254" 3
"bird_342" "10000000.0................." "2007" 62 "M" "brood_254" 3
"bird_343" "10100100.0................." "2007" 62 "M" "brood_254" 3
"bird_344" "10000000000................" "2007" 62 "F" "brood_168" 3
"bird_345" "10000000000................" "2007" 62 "M" "brood_168" 3
"bird_346" "10000000000................" "2007" 62 "M" "brood_168" 3
"bird_348" "01010100000................" "2007" 62 "M" "brood_161" 3
"bird_349" "00110100000................" "2007" 62 "F" "brood_161" 3
"bird_350" "11........................." "2007" 64 "M" "brood_236" 3
"bird_351" "1.1........................" "2007" 64 "M" "brood_231" 3
"bird_352" "111........................" "2007" 64 "F" "brood_231" 3
"bird_353" "11101111..................." "2007" 65 "M" "brood_229" 3
"bird_354" "1.........................." "2007" 65 "F" "brood_262" 3
"bird_355" "1100000...................." "2007" 66 "F" "brood_240" 3
"bird_356" "1100000...................." "2007" 66 "F" "brood_240" 3
"bird_357" ".1........................." "2007" 65 "M" "brood_214" 3
"bird_359" "11101111..................." "2007" 65 "M" "brood_229" 3
"bird_360" ".1........1.....11.1111.11." "2007" 28 "F" "brood_176" 3
"bird_361" "11.1..11...1.........1..11." "2007" 29 "F" "brood_243" 3
"bird_362" "11.1.0110001000000000101010" "2007" 29 "M" "brood_243" 3
"bird_363" "11.1.0110001000000000101010" "2007" 29 "M" "brood_243" 3
"bird_364" "11.1.0110001000000000101010" "2007" 29 "F" "brood_243" 3
"bird_365" "01.0.1000010000011101101010" "2007" 29 "M" "brood_245" 3
"bird_366" "01.0.1000010000011101101010" "2007" 29 "M" "brood_245" 3
"bird_367" "111001101001000011011010100" "2007" 30 "M" "brood_210" 3
"bird_369" "010001101001000011010011001" "2007" 30 "M" "brood_139" 3
"bird_370" "100001001000001100101010110" "2007" 31 "F" "brood_171" 3
"bird_371" "11.1.1111......1..1.1.1.11." "2007" 31 "F" "brood_204" 3
"bird_372" ".11.1...11.....111.11.11111" "2007" 30 "F" "brood_169" 3
"bird_373" "011010000100000111011011111" "2007" 30 "M" "brood_169" 3
"bird_374" ".11........................" "2007" 30 "M" "brood_169" 3
"bird_375" "11000011001011110000010001." "2007" 31 "M" "brood_204" 3
"bird_376" "11....11..................." "2007" 31 "F" "brood_204" 3
"bird_377" "010001000000000001101100110" "2007" 31 "M" "brood_170" 3
"bird_379" "010001000000000001101100110" "2007" 31 "F" "brood_170" 3
"bird_380" "010001000000000001101100110" "2007" 31 "M" "brood_170" 3
"bird_381" "100000000110000000000000000" "2007" 35 "F" "brood_175" 3
"bird_382" "100000000110000000000000000" "2007" 35 "M" "brood_175" 3
"bird_385" "110110010010101100000100000" "2007" 24 "M" "brood_209" 3
"bird_386" "111100110100110110001000000" "2007" 29 "M" "brood_174" 3
"bird_390" "111111010110110000000000001" "2007" 39 "F" "brood_147" 3
"bird_391" "110001000100000000000000000" "2007" 39 "M" "brood_147" 3
"bird_392" "1.1111.1.11.11............1" "2007" 39 "F" "brood_181" 3
"bird_393" "101111010110110000000000001" "2007" 39 "F" "brood_181" 3
"bird_394" "1.1111.1.11.11............1" "2007" 39 "M" "brood_181" 3
"bird_395" "111111111.1................" "2007" 41 "F" "brood_183" 3
"bird_396" "1111111.11.11111.1.1.11..1." "2007" 41 "M" "brood_188" 3
"bird_397" "111111101101111101010110010" "2007" 41 "F" "brood_188" 3
"bird_398" "111111111.1................" "2007" 41 "F" "brood_183" 3
"bird_400" "110100010010010000011110010" "2007" 42 "M" "brood_189" 3
"bird_401" "110100010010010000011110010" "2007" 42 "F" "brood_189" 3
"bird_402" "110100010010010000011110010" "2007" 42 "M" "brood_189" 3
"bird_405" "011110011010100100000000000" "2007" 43 "M" "brood_182" 3
"bird_406" "..1..111111..........1....." "2007" 44 "M" "brood_154" 3
"bird_409" "101100000000000000000000000" "2007" 46 "M" "brood_150" 3
"bird_410" "1010101111011011000000.000." "2006" 44 "F" "brood_34" 3
"bird_412" "1.........................." "2007" 47 "M" "brood_153" 3
"bird_413" "1.........................." "2007" 47 "M" "brood_153" 3
